feature,adjust,hold,lift,other,place,press,rotate,Mean_Importance
x_13_std_5,0.2851868585795443,0.01944422550909565,0.000359385057658616,0.0012036983695168865,0.013622872361624709,0.0004550231687626718,0.002638418147842565,0.04613006874200647
z_1_mean_5,0.0006905280334612009,0.002382678111741896,0.0004899599781469446,0.00426631480526492,0.2721754142675933,0.004159302792106933,0.010156917292449028,0.04204587361153774
x_0_std_5,0.01650102909847375,0.027231644759457243,0.001432465012340798,0.11506041108530088,0.024797260987153496,0.00013550327157264684,0.03217615213638049,0.031047780907239895
x_1_mean_5,0.0029679753901166437,0.008064606980297075,0.0023406375574426585,0.19132690089887214,0.0020329356879085713,0.0034303412284997716,0.0030926927664454602,0.03046515578708319
x_0_mean_5,0.14585200884330687,0.007242206493062181,0.001082322997983789,0.03421591865639487,0.007779333837950412,0.0029461626650152547,0.012720356675171409,0.03026261573841211
x_17_std_5,0.0015667882444939545,0.14298330789240335,0.0004514443160451647,0.05321287582448999,0.003387072876307748,0.00045314950078177387,0.002249401032748345,0.02918629138389576
z_18_std_5,0.00016607431148317467,0.05359189716450258,0.06546850847080003,0.0005472473069188064,0.00028749824105142954,0.00047629970191033185,0.006012500114929894,0.01807857504451375
x_5_std_5,0.0834417287357026,0.0016611862884732555,0.0007954810032875332,0.001110498726338858,0.017500095389490336,0.0002223351089835455,0.010723011501257474,0.01649347667907623
x_3_mean_5,0.0007811052602069207,0.0004419185368095745,0.09294022825009893,0.013538970796782589,0.002024720616285474,0.0003199558070334235,0.0030595915588441836,0.016158070118008728
x_4_mean_5,0.0031975548112797214,0.0009883182580793437,0.0051005155504471825,0.021965952303964115,0.06662363987138067,0.00042353232920809466,0.00418064589895491,0.01464002271761629
y_12_mean_5,0.0020995597228161845,0.0007452662908786965,0.000821789642538834,0.0009845849100513096,0.00023212606415788615,0.08827662941025276,0.004862551821794884,0.014003215408927223
z_0_mean_5,0.001959680363037272,0.007204079620763665,0.018170849053842187,0.04239868451725661,0.011050843872760736,0.00041548794756123475,0.012070686987156142,0.01332433033748255
y_3_std_5,0.000811604925190369,0.034663105293464926,0.0001194264451525126,0.006746740076368884,0.00037062692141790474,0.04549318254245789,0.0013090862072008456,0.01278768177303619
z_2_std_5,0.005078637862278009,0.038622066739819785,0.029911489016270613,0.0007961291344894732,0.006608578462653785,7.021967124457114e-05,0.0020061680281896425,0.011870469844992267
z_4_std_5,0.004911302021850191,0.0026474803643616075,0.06154377461313783,0.0010695203893555287,0.004878430084659773,5.251174267290413e-05,0.0013987314955479044,0.010928821530226533
x_10_std_5,0.0006233364326085981,0.00087179250480091,0.0006902207926360593,0.0008818126229375817,0.019616649999024918,0.00014296419949032021,0.05194525005349785,0.010681718086428035
lmk_18_speed,0.0002913418561609216,0.01794825619416728,0.00015819600647109334,0.0003670303354289065,0.0002738479065678125,0.05235245846528877,0.0028080740371357643,0.010599886400174363
